Timestamp | Level | Message
2026-03-02T20:10:34.437Z | INFO | [RepairService] | User 6092 | Robot 50230 (User2Robot2) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:34.442Z | INFO | [RepairService] | User 6092 | Robot 50231 (User2Robot3) | Cost: ₡33,810 | Discount: 0%
2026-03-02T20:10:34.447Z | INFO | [RepairService] | User 6092 | Robot 50228 (User2Robot0) | Cost: ₡17,020 | Discount: 0%
2026-03-02T20:10:34.451Z | INFO | [RepairService] | User 6092 | Robot 50229 (User2Robot1) | Cost: ₡34,155 | Discount: 0%
2026-03-02T20:10:34.460Z | INFO | [RepairService] | User 6102 | Robot 50261 (User2Robot1) | Cost: ₡7,820 | Discount: 0%
2026-03-02T20:10:34.482Z | INFO | [RepairService] | User 6102 | Robot 50262 (User2Robot2) | Cost: ₡33,810 | Discount: 0%
2026-03-02T20:10:34.492Z | INFO | [RepairService] | User 6102 | Robot 50260 (User2Robot0) | Cost: ₡20,010 | Discount: 0%
2026-03-02T20:10:34.498Z | INFO | [RepairService] | User 6102 | Robot 50263 (User2Robot3) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.507Z | INFO | [RepairService] | User 6101 | Robot 50256 (User1Robot0) | Cost: ₡15,640 | Discount: 0%
2026-03-02T20:10:34.511Z | INFO | [RepairService] | User 6101 | Robot 50257 (User1Robot1) | Cost: ₡19,550 | Discount: 0%
2026-03-02T20:10:34.516Z | INFO | [RepairService] | User 6101 | Robot 50258 (User1Robot2) | Cost: ₡32,430 | Discount: 0%
2026-03-02T20:10:34.520Z | INFO | [RepairService] | User 6101 | Robot 50259 (User1Robot3) | Cost: ₡32,430 | Discount: 0%
2026-03-02T20:10:34.529Z | INFO | [RepairService] | User 6155 | Robot 50323 (User1Robot3) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.534Z | INFO | [RepairService] | User 6155 | Robot 50320 (User1Robot0) | Cost: ₡13,570 | Discount: 0%
2026-03-02T20:10:34.540Z | INFO | [RepairService] | User 6155 | Robot 50321 (User1Robot1) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.544Z | INFO | [RepairService] | User 6155 | Robot 50322 (User1Robot2) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.571Z | INFO | [RepairService] | User 6164 | Robot 50342 (User2Robot2) | Cost: ₡16,790 | Discount: 0%
2026-03-02T20:10:34.582Z | INFO | [RepairService] | User 6164 | Robot 50340 (User2Robot0) | Cost: ₡34,155 | Discount: 0%
2026-03-02T20:10:34.586Z | INFO | [RepairService] | User 6164 | Robot 50341 (User2Robot1) | Cost: ₡13,800 | Discount: 0%
2026-03-02T20:10:34.592Z | INFO | [RepairService] | User 6164 | Robot 50343 (User2Robot3) | Cost: ₡18,400 | Discount: 0%
2026-03-02T20:10:34.600Z | INFO | [RepairService] | User 6156 | Robot 50324 (User2Robot0) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:34.603Z | INFO | [RepairService] | User 6156 | Robot 50325 (User2Robot1) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.608Z | INFO | [RepairService] | User 6156 | Robot 50326 (User2Robot2) | Cost: ₡6,440 | Discount: 0%
2026-03-02T20:10:34.612Z | INFO | [RepairService] | User 6156 | Robot 50327 (User2Robot3) | Cost: ₡13,570 | Discount: 0%
2026-03-02T20:10:34.619Z | INFO | [RepairService] | User 6163 | Robot 50336 (User1Robot0) | Cost: ₡33,465 | Discount: 0%
2026-03-02T20:10:34.625Z | INFO | [RepairService] | User 6163 | Robot 50337 (User1Robot1) | Cost: ₡33,810 | Discount: 0%
2026-03-02T20:10:34.628Z | INFO | [RepairService] | User 6163 | Robot 50338 (User1Robot2) | Cost: ₡32,085 | Discount: 0%
2026-03-02T20:10:34.649Z | INFO | [RepairService] | User 6097 | Robot 50244 (User2Robot0) | Cost: ₡9,430 | Discount: 0%
2026-03-02T20:10:34.660Z | INFO | [RepairService] | User 6097 | Robot 50245 (User2Robot1) | Cost: ₡20,240 | Discount: 0%
2026-03-02T20:10:34.666Z | INFO | [RepairService] | User 6097 | Robot 50247 (User2Robot3) | Cost: ₡16,330 | Discount: 0%
2026-03-02T20:10:34.670Z | INFO | [RepairService] | User 6097 | Robot 50246 (User2Robot2) | Cost: ₡17,480 | Discount: 0%
2026-03-02T20:10:34.679Z | INFO | [RepairService] | User 6107 | Robot 50278 (User2Robot2) | Cost: ₡31,740 | Discount: 0%
2026-03-02T20:10:34.684Z | INFO | [RepairService] | User 6107 | Robot 50279 (User2Robot3) | Cost: ₡11,500 | Discount: 0%
2026-03-02T20:10:34.689Z | INFO | [RepairService] | User 6107 | Robot 50276 (User2Robot0) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:34.693Z | INFO | [RepairService] | User 6107 | Robot 50277 (User2Robot1) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.701Z | INFO | [RepairService] | User 6106 | Robot 50272 (User1Robot0) | Cost: ₡32,085 | Discount: 0%
2026-03-02T20:10:34.706Z | INFO | [RepairService] | User 6106 | Robot 50273 (User1Robot1) | Cost: ₡16,560 | Discount: 0%
2026-03-02T20:10:34.710Z | INFO | [RepairService] | User 6106 | Robot 50274 (User1Robot2) | Cost: ₡17,940 | Discount: 0%
2026-03-02T20:10:34.715Z | INFO | [RepairService] | User 6106 | Robot 50275 (User1Robot3) | Cost: ₡15,410 | Discount: 0%
2026-03-02T20:10:34.739Z | INFO | [RepairService] | User 6136 | Robot 50283 (User1Robot3) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:34.749Z | INFO | [RepairService] | User 6136 | Robot 50280 (User1Robot0) | Cost: ₡32,430 | Discount: 0%
2026-03-02T20:10:34.753Z | INFO | [RepairService] | User 6136 | Robot 50281 (User1Robot1) | Cost: ₡32,775 | Discount: 0%
2026-03-02T20:10:34.758Z | INFO | [RepairService] | User 6136 | Robot 50282 (User1Robot2) | Cost: ₡14,030 | Discount: 0%
2026-03-02T20:10:34.767Z | INFO | [RepairService] | User 6137 | Robot 50287 (User2Robot3) | Cost: ₡31,740 | Discount: 0%
2026-03-02T20:10:34.772Z | INFO | [RepairService] | User 6137 | Robot 50284 (User2Robot0) | Cost: ₡17,480 | Discount: 0%
2026-03-02T20:10:34.776Z | INFO | [RepairService] | User 6137 | Robot 50285 (User2Robot1) | Cost: ₡12,420 | Discount: 0%
2026-03-02T20:10:34.781Z | INFO | [RepairService] | User 6137 | Robot 50286 (User2Robot2) | Cost: ₡32,430 | Discount: 0%
2026-03-02T20:10:34.789Z | INFO | [RepairService] | User 6141 | Robot 50294 (User2Robot2) | Cost: ₡19,320 | Discount: 0%
2026-03-02T20:10:34.809Z | INFO | [RepairService] | User 6141 | Robot 50293 (User2Robot1) | Cost: ₡12,190 | Discount: 0%
2026-03-02T20:10:34.817Z | INFO | [RepairService] | User 6141 | Robot 50295 (User2Robot3) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.823Z | INFO | [RepairService] | User 6141 | Robot 50292 (User2Robot0) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.830Z | INFO | [RepairService] | User 6140 | Robot 50290 (User1Robot2) | Cost: ₡33,810 | Discount: 0%
2026-03-02T20:10:34.834Z | INFO | [RepairService] | User 6140 | Robot 50289 (User1Robot1) | Cost: ₡15,640 | Discount: 0%
2026-03-02T20:10:34.839Z | INFO | [RepairService] | User 6140 | Robot 50288 (User1Robot0) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.844Z | INFO | [RepairService] | User 6140 | Robot 50291 (User1Robot3) | Cost: ₡15,870 | Discount: 0%
2026-03-02T20:10:34.851Z | INFO | [RepairService] | User 6149 | Robot 50308 (User2Robot0) | Cost: ₡16,790 | Discount: 0%
2026-03-02T20:10:34.857Z | INFO | [RepairService] | User 6149 | Robot 50311 (User2Robot3) | Cost: ₡10,580 | Discount: 0%
2026-03-02T20:10:34.861Z | INFO | [RepairService] | User 6149 | Robot 50310 (User2Robot2) | Cost: ₡33,120 | Discount: 0%
